,rank_year,ranks,title,author,no_of_reviews,ratings,price,cover_type,genre
290,2011,98.0,The Big Short: Inside the Doomsday Machine,Michael Lewis,5893.0,4.7,8.79,Paperback,Non Fiction
291,2011,99.0,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,11833.0,4.7,9.99,Paperback,Non Fiction
292,2011,100.0,The Official Guide for GMAT Review,GMAC (Graduate Management Admission Council),303.0,4.4,39.99,Paperback,Non Fiction
293,2012,1.0,"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades Of Grey Series, 1)",E L James,60233.0,4.0,13.99,Paperback,Fiction
294,2012,2.0,Fifty Shades Darker,E L James,32887.0,4.5,13.99,Paperback,Fiction
295,2012,3.0,"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) (Fifty Shades Of Grey Series, 3)",E L James,32375.0,4.5,13.88,Paperback,Fiction
296,2012,4.0,The Hunger Games (Book 1),Suzanne Collins,42770.0,4.7,11.69,Paperback,Fiction
297,2012,5.0,StrengthsFinder 2.0,Gallup,7082.0,4.1,18.29,Hardcover,Non Fiction
298,2012,6.0,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,38220.0,4.6,19.49,Paperback,Fiction
299,2012,7.0,Catching Fire (The Hunger Games),Suzanne Collins,32459.0,4.7,9.49,Hardcover,Fiction
300,2012,8.0,Mockingjay (The Hunger Games),Suzanne Collins,37034.0,4.6,9.08,Hardcover,Fiction
301,2012,9.0,"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,12521.0,4.7,13.95,Hardcover,Fiction
302,2012,10.0,No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,9676.0,4.6,16.89,Hardcover,Non Fiction
303,2012,11.0,The Hunger Games Trilogy Boxed Set,Suzanne Collins,27185.0,4.8,59.9,Hardcover,Fiction
304,2012,12.0,Gone Girl,Gillian Flynn,66978.0,4.1,15.21,Hardcover,Fiction
305,2012,13.0,"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,13958.0,4.8,11.26,Hardcover,Fiction
306,2012,14.0,The Official SAT Study Guide,The College Board,1526.0,4.4,41.0,Paperback,Non Fiction
307,2012,15.0,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,6354.0,4.6,54.98,Mass Market Paperback,Fiction
308,2012,16.0,Killing Kennedy: The End of Camelot,Bill O'Reilly,10410.0,4.6,17.68,Hardcover,Non Fiction
309,2012,17.0,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,12674.0,4.5,24.29,Paperback,Non Fiction
310,2012,18.0,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,10849.0,4.7,9.99,Hardcover,Non Fiction
311,2012,19.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,33629.0,4.8,14.54,Hardcover,Non Fiction
312,2012,20.0,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,16915.0,4.4,12.79,Paperback,Non Fiction
